Behaviour,Actor,Receiver,T_start,T_stop
T,0x0001,0x0029,2020-02-11T11:53:34.165655Z,2020-02-11T11:54:18.790895Z
SG,0x0001,NA,2020-02-11T11:54:24.790929Z,2020-02-11T11:54:28.165942Z
SG,0x0001,NA,2020-02-11T11:54:51.291076Z,2020-02-11T11:55:03.916076Z
SG,0x0001,NA,2020-02-11T11:55:12.916100Z,2020-02-11T11:55:20.541155Z
T,0x0001,0x0002,2020-02-11T11:55:24.791236Z,2020-02-11T11:55:25.791258Z
W,0x0001,NA,2020-02-11T11:56:00.291389Z,2020-02-11T11:56:04.541408Z
W,0x0001,NA,2020-02-11T11:56:21.791562Z,2020-02-11T11:56:37.916596Z
W,0x0001,NA,2020-02-11T11:56:41.541599Z,2020-02-11T11:56:45.791654Z
AC,0x0001,0x002B,2020-02-11T11:57:30.166931Z,2020-02-11T11:57:31.416852Z
AC,0x0001,0x0020,2020-02-11T11:57:35.541880Z,2020-02-11T11:57:38.792277Z
AC,0x0001,0x0020,2020-02-11T11:57:58.292097Z,2020-02-11T11:57:59.792111Z
W,0x0001,NA,2020-02-11T11:58:22.917228Z,2020-02-11T11:58:24.542172Z
AC,0x0001,0x001F,2020-02-11T11:58:24.792246Z,2020-02-11T11:58:25.917252Z
W,0x0001,NA,2020-02-11T11:58:26.292199Z,2020-02-11T11:58:31.542184Z
W,0x0001,NA,2020-02-11T12:01:21.668171Z,2020-02-11T12:01:27.043136Z
W,0x0001,NA,2020-02-11T12:01:28.043132Z,2020-02-11T12:01:35.543167Z
W,0x0001,NA,2020-02-11T12:01:48.293299Z,2020-02-11T12:01:51.668334Z
AC,0x0001,0x0002,2020-02-11T12:02:06.168408Z,2020-02-11T12:02:08.168407Z
AC,0x0001,0x0022,2020-02-11T12:02:22.918428Z,2020-02-11T12:02:24.293741Z
W,0x0001,NA,2020-02-11T12:02:32.668547Z,2020-02-11T12:02:35.918572Z
W,0x0001,NA,2020-02-11T12:03:04.918654Z,2020-02-11T12:03:08.543669Z
T,0x0001,0x0044,2020-02-11T12:03:08.543669Z,2020-02-11T12:03:26.293830Z
AC,0x0001,0x0017,2020-02-11T12:04:17.919050Z,2020-02-11T12:04:18.669099Z
W,0x0001,NA,2020-02-11T12:07:05.169994Z,2020-02-11T12:07:12.544940Z
AC,0x0001,0x0040,2020-02-11T12:07:59.670280Z,2020-02-11T12:08:01.170284Z
AC,0x0001,0x001E,2020-02-11T12:08:57.545516Z,2020-02-11T12:08:59.420523Z
SG,0x0001,NA,2020-02-11T12:09:11.420596Z,2020-02-11T12:09:24.545646Z
SG,0x0001,NA,2020-02-11T12:09:44.920836Z,2020-02-11T12:10:17.921022Z
SG,0x0001,NA,2020-02-11T12:10:39.671383Z,2020-02-11T12:11:42.671477Z
SG,0x0001,NA,2020-02-11T12:12:27.296649Z,2020-02-11T12:13:21.922013Z
W,0x0001,NA,2020-02-11T12:15:26.672613Z,2020-02-11T12:15:28.547627Z
AC,0x0001,0x0025,2020-02-11T12:17:07.173222Z,2020-02-11T12:17:10.798227Z
R,0x0001,NA,2020-02-11T12:17:16.173275Z,2020-02-11T12:17:22.923232Z
W,0x0001,NA,2020-02-11T12:18:30.798680Z,2020-02-11T12:18:33.548631Z
W,0x0001,NA,2020-02-11T12:20:15.549161Z,2020-02-11T12:20:20.549203Z
AC,0x0001,0x002F,2020-02-11T12:20:20.549203Z,2020-02-11T12:20:21.049204Z
AC,0x0001,0x0023,2020-02-11T12:21:37.674685Z,2020-02-11T12:21:38.549689Z
W,0x0001,NA,2020-02-11T12:21:47.049680Z,2020-02-11T12:21:50.175049Z
AC,0x0002,0x0022,2020-02-11T11:54:10.415834Z,2020-02-11T11:54:12.915853Z
W,0x0002,NA,2020-02-11T11:54:14.290812Z,2020-02-11T11:54:15.665804Z
AC,0x0002,0x0009,2020-02-11T11:54:15.915832Z,2020-02-11T11:54:16.665881Z
W,0x0002,NA,2020-02-11T11:54:17.165870Z,2020-02-11T11:54:27.540875Z
AC,0x0002,0x0030,2020-02-11T11:54:36.665926Z,2020-02-11T11:54:37.790949Z
W,0x0002,NA,2020-02-11T11:55:08.916165Z,2020-02-11T11:55:11.916188Z
AC,0x0002,0x0031,2020-02-11T11:55:15.291121Z,2020-02-11T11:55:16.041146Z
W,0x0002,NA,2020-02-11T11:56:15.166529Z,2020-02-11T11:56:16.416535Z
W,0x0002,NA,2020-02-11T11:56:59.666758Z,2020-02-11T11:57:05.541740Z
SG,0x0002,NA,2020-02-11T11:57:26.916916Z,2020-02-11T11:57:33.041948Z
SG,0x0002,NA,2020-02-11T11:57:41.416931Z,2020-02-11T11:58:13.042173Z
SG,0x0002,NA,2020-02-11T11:58:17.292154Z,2020-02-11T11:58:19.667212Z
SG,0x0002,NA,2020-02-11T11:58:20.792216Z,2020-02-11T11:59:06.792482Z
AC,0x0002,0x0030,2020-02-11T11:59:09.917483Z,2020-02-11T11:59:11.917493Z
AC,0x0002,0x0030,2020-02-11T11:59:45.417603Z,2020-02-11T11:59:48.417693Z
AC,0x0002,0x0001,2020-02-11T12:02:06.418395Z,2020-02-11T12:02:07.793355Z
W,0x0002,NA,2020-02-11T12:02:18.543390Z,2020-02-11T12:02:20.793414Z
W,0x0002,NA,2020-02-11T12:02:33.668554Z,2020-02-11T12:02:35.418491Z
AC,0x0002,0x0038,2020-02-11T12:02:39.793579Z,2020-02-11T12:02:40.793535Z
T,0x0002,0x0023,2020-02-11T12:04:38.169203Z,2020-02-11T12:05:34.294502Z
W,0x0002,NA,2020-02-11T12:06:00.169641Z,2020-02-11T12:06:02.419657Z
AC,0x0002,0x0034,2020-02-11T12:06:19.669745Z,2020-02-11T12:06:21.295044Z
AC,0x0002,0x0010,2020-02-11T12:06:29.919757Z,2020-02-11T12:06:31.669813Z
SG,0x0002,NA,2020-02-11T12:06:34.044754Z,2020-02-11T12:06:38.044778Z
T,0x0002,0x001B,2020-02-11T12:07:36.170102Z,2020-02-11T12:08:10.420280Z
W,0x0002,NA,2020-02-11T12:08:15.295306Z,2020-02-11T12:08:24.545314Z
AC,0x0002,0x001C,2020-02-11T12:09:08.295634Z,2020-02-11T12:09:08.795580Z
SG,0x0002,NA,2020-02-11T12:09:15.045606Z,2020-02-11T12:09:21.420658Z
SG,0x0002,NA,2020-02-11T12:09:26.420751Z,2020-02-11T12:09:32.295779Z
AC,0x0002,0x0014,2020-02-11T12:09:34.545719Z,2020-02-11T12:09:35.420719Z
SG,0x0002,NA,2020-02-11T12:09:40.545742Z,2020-02-11T12:09:44.670848Z
SG,0x0002,NA,2020-02-11T12:09:48.795794Z,2020-02-11T12:09:57.545848Z
SG,0x0002,NA,2020-02-11T12:10:02.795937Z,2020-02-11T12:10:17.545947Z
SG,0x0002,NA,2020-02-11T12:10:31.171084Z,2020-02-11T12:10:45.046152Z
W,0x0002,NA,2020-02-11T12:11:05.421267Z,2020-02-11T12:11:12.046245Z
AC,0x0002,0x001B,2020-02-11T12:11:12.296316Z,2020-02-11T12:11:14.546263Z
AC,0x0002,0x002C,2020-02-11T12:11:30.296352Z,2020-02-11T12:11:31.296346Z
W,0x0002,NA,2020-02-11T12:11:50.296448Z,2020-02-11T12:11:55.671457Z
